Date,Mkt-RF,SMB,HML,RF
19910124,1.1,-0.61,-0.21,0.02
19910125,0.63,-0.16,-0.2,0.02
19910128,0.18,0.29,0.18,0.02
19910129,0.13,0.25,0.15,0.02
19910130,0.69,0.23,0.07,0.02
19910131,0.71,0.36,0.1,0.02
19910201,-0.06,0.74,0.24,0.02
19910204,1.09,0,0.23,0.02
19910205,1.78,-0.39,0.03,0.02
19910206,1.58,-0.19,-0.6,0.02
19910207,0.48,-0.32,0.18,0.02
19910208,0.63,-0.29,-0.09,0.02
19910211,1.38,-0.12,0.14,0.02
19910212,0.61,0.02,-0.26,0.02
19910213,0.5,0.39,-0.19,0.02
19910214,-0.19,0.57,0.15,0.02
19910215,0.28,0.06,0.33,0.02
19910218,1.37,-0.57,-0.03,0.02
19910219,-0.27,0.41,-0.13,0.02
19910220,-0.89,0.53,-0.16,0.02
19910221,0.06,0.41,-0.04,0.02
19910222,-0.38,0.4,-0.13,0.02
19910225,0.64,-0.5,0.07,0.02
19910226,-0.69,0.62,-0.03,0.02
19910227,0.35,0.02,0.11,0.02
19910228,0.43,0.41,0.25,0.02
19910301,-0.86,0.7,0.17,0.02
19910304,-0.23,0.94,0.36,0.02
19910305,1.01,0.04,-0.26,0.02
19910306,0.72,-0.16,0.41,0.02
19910307,-0.1,0.19,-0.15,0.02
19910308,-0.04,-0.04,-0.11,0.02
19910311,-0.8,0.48,0.22,0.02
19910312,0.37,-0.36,-0.12,0.02
19910313,-0.2,0.33,-0.33,0.02
19910314,0.57,-0.21,-0.13,0.02
19910315,-0.1,-0.42,-0.11,0.02
19910318,-0.54,-0.04,-0.28,0.02
19910319,-1.12,0.27,-0.32,0.02
19910320,-0.84,0.85,-0.27,0.02
19910321,0.48,0.01,0.07,0.02
19910322,0.02,-0.1,-0.29,0.02
19910325,-0.75,-0.05,0.06,0.02
19910326,0.39,-0.01,-0.32,0.02
19910327,-0.38,0.39,0.02,0.02
19910328,-0.26,0.54,0.27,0.02
19910329,0.38,-0.07,0,0.02
19910401,-0.18,0.55,0.19,0.02
19910402,1.77,-0.77,-0.53,0.02
19910403,1.13,-0.31,-0.05,0.02
19910404,0.64,-0.01,0.02,0.02
19910405,-0.51,0.25,0.03,0.02
19910408,-0.23,0,-0.04,0.02
19910409,0.06,0.48,0.09,0.02
19910410,-0.75,0.32,0.06,0.02
19910411,0.7,-0.09,-0.09,0.02
19910412,0.35,-0.2,-0.03,0.02
19910415,0.93,-0.44,-0.18,0.02
19910416,0.47,-0.14,-0.17,0.02
19910417,0.16,0.16,0.26,0.02
19910418,-0.93,0.18,0.44,0.02
19910419,-1.7,0.44,0.36,0.02
19910422,-1.63,0.13,-0.07,0.02
19910423,0.88,-0.47,-0.01,0.02
19910424,-0.25,0.21,0.1,0.02
19910425,-0.68,0.44,0.14,0.02
19910426,-0.13,-0.2,-0.12,0.02
19910429,-0.33,-0.1,0.13,0.02
19910430,0.84,-0.45,-0.09,0.02
19910501,0.93,-0.52,-0.19,0.02
19910502,0.07,0.28,0.04,0.02
19910503,-0.44,0.03,-0.15,0.02
19910506,0.08,0.04,0.16,0.02
19910507,0.16,0.3,0.16,0.02
19910508,-0.43,0.26,0,0.02
19910509,0.2,-0.07,-0.14,0.02
19910510,-0.29,0.24,0.2,0.02
19910513,-0.37,0.35,-0.11,0.02
19910514,-0.21,0.08,-0.15,0.02
19910515,-0.46,-0.3,0.23,0.02
19910516,0.15,-0.13,-0.05,0.02
19910517,-0.68,-0.18,-0.01,0.02
19910520,-0.09,-0.06,-0.05,0.02
19910521,0.72,-0.24,-0.14,0.02
19910522,-0.24,0.04,0.01,0.02
19910523,0.34,-0.12,-0.1,0.02
19910524,0.03,0.05,0.13,0.02
19910527,-0.1,0.01,0.03,0.02
19910528,0.49,-0.1,-0.05,0.02
19910529,0.01,-0.01,0.26,0.02
19910530,0.58,-0.24,-0.09,0.02
19910531,0.29,-0.25,0.33,0.02
19910603,-0.21,0.29,0.41,0.02
19910604,-0.22,0.31,0.08,0.02
19910605,-0.58,0.32,0.18,0.02
19910606,-0.42,0.11,0.24,0.02
19910607,-0.97,0.36,0.07,0.02
19910610,-0.95,0.64,0.35,0.02
19910611,0.48,-0.66,-0.09,0.02
19910612,-1,0.05,-0.04,0.02
19910613,0.28,-0.32,-0.06,0.02
19910614,0.86,-0.32,-0.24,0.02
19910617,-0.47,0.38,0.16,0.02
19910618,-0.67,0.12,0.08,0.02
19910619,-0.89,0.51,0.29,0.02
19910620,0.31,-0.4,-0.22,0.02
19910621,0.33,-0.4,-0.15,0.02
19910624,-1.12,0.47,0.27,0.02
19910625,-0.15,-0.63,-0.01,0.02
19910626,0.09,0.05,-0.12,0.02
19910627,-0.05,-0.06,-0.21,0.02
19910628,-0.86,0.56,0.18,0.02
19910701,1.36,-1.13,-0.37,0.02
19910702,-0.31,0.01,0.02,0.02
19910703,-1.5,0.69,0.06,0.02
19910704,-0.37,-0.08,0.19,0.02
19910705,0.25,-0.16,0.14,0.02
19910708,-0.77,0.53,-0.13,0.02
19910709,0.39,-0.72,0.28,0.02
19910710,1.06,-0.4,-0.18,0.02
19910711,-0.12,0.02,-0.07,0.02
19910712,1.42,0.05,-0.29,0.02
19910715,0.84,-0.22,-0.18,0.02
19910716,-0.36,0.26,0.1,0.02
19910717,-0.21,0.3,0.01,0.02
19910718,0.33,0.01,0.06,0.02
19910719,0.37,0.23,0.25,0.02
19910722,-0.62,0.11,0.16,0.02
19910723,-0.1,-0.21,0.24,0.02
19910724,0.48,-0.19,-0.08,0.02
19910725,-0.46,-0.11,0.02,0.02
19910726,0.73,-0.23,0.01,0.02
19910729,-0.2,-0.17,-0.1,0.02
19910730,0.72,-0.42,-0.32,0.02
19910731,0.52,0.09,-0.24,0.02
19910801,-0.3,0.05,-0.08,0.02
19910802,0.51,0.09,-0.04,0.02
19910805,-0.23,0.43,0.01,0.02
19910806,0.25,-0.16,-0.17,0.02
